,id,handicap,komi,result,date,black_player_id,white_player_id
0,1,5,0.5,black,2012-06-26,2,1
1,2,0,6.5,white,2012-06-28,2,1
2,3,0,6.5,white,2012-06-29,3,4
3,4,0,6.5,black,2012-06-30,4,3
4,5,0,6.5,white,2012-06-30,5,3
5,6,0,6.5,black,2016-06-27,27,26
6,7,3,0.5,white,2016-06-27,13,12
7,8,3,0.5,white,2016-06-27,23,19
8,9,0,6.5,white,2016-06-27,18,15
9,10,4,0.5,white,2016-06-27,25,18
10,11,0,6.5,white,2016-06-27,18,14
11,12,4,0.5,white,2016-06-27,18,9
12,13,3,0.5,white,2016-06-27,23,15
13,14,0,6.5,black,2016-06-27,8,7
14,15,4,0.5,white,2016-07-04,26,13
15,16,0,6.5,black,2016-07-04,15,18
16,17,0,0.5,white,2016-07-04,18,20
17,18,4,0.5,white,2016-07-04,18,10
18,19,0,6.5,white,2016-07-04,8,9
19,20,0,0.5,white,2016-07-04,7,6
20,21,0,6.5,black,2016-07-04,9,6
21,22,4,0.5,black,2016-07-11,15,10
22,23,3,0.5,black,2016-07-11,23,18
23,24,4,0.5,white,2016-07-11,21,6
24,25,4,0.5,white,2016-07-11,27,15
25,26,0,6.5,black,2016-07-11,15,20
26,27,4,0.5,white,2016-07-11,25,18
27,28,4,0.5,white,2016-07-11,27,18
28,29,0,0.5,black,2016-07-11,20,18
29,30,0,0.5,white,2016-07-11,18,14
30,31,4,0.5,white,2016-07-11,20,7
31,32,0,0.5,black,2016-07-18,15,14
32,33,3,0.5,white,2016-07-18,23,18
33,34,4,0.5,white,2016-07-18,15,7
34,35,4,0.5,black,2016-07-18,18,7
35,36,0,6.5,black,2016-08-13,9,37
36,37,0,6.5,white,2016-08-13,38,14
37,38,0,6.5,white,2016-08-13,41,7
38,39,0,6.5,black,2016-08-13,12,34
39,40,0,6.5,black,2016-08-13,35,16
40,41,0,6.5,white,2016-08-13,27,36
41,42,0,6.5,white,2016-08-13,32,6
42,43,0,6.5,white,2016-08-13,19,15
43,44,0,6.5,white,2016-08-13,25,20
44,45,0,6.5,black,2016-08-13,9,34
45,46,0,6.5,white,2016-08-13,35,14
46,47,0,6.5,black,2016-08-13,17,36
47,48,0,6.5,black,2016-08-13,32,37
48,49,0,6.5,black,2016-08-13,38,15
49,50,0,6.5,black,2016-08-13,25,28
50,51,0,6.5,black,2016-08-13,12,41
51,52,0,6.5,white,2016-08-13,26,27
52,53,0,6.5,black,2016-08-13,7,6
53,54,0,6.5,white,2016-08-13,19,18
54,55,0,6.5,white,2016-08-13,30,20
55,56,0,6.5,black,2016-08-13,9,7
56,57,0,6.5,white,2016-08-13,18,14
57,58,0,6.5,black,2016-08-13,17,30
58,59,0,6.5,black,2016-08-13,32,41
59,60,0,6.5,black,2016-08-13,25,27
60,61,0,6.5,white,2016-08-13,34,37
61,62,0,6.5,black,2016-08-13,38,35
62,63,0,6.5,black,2016-08-13,36,28
63,64,0,6.5,white,2016-08-13,9,6
64,65,0,6.5,white,2016-08-13,19,14
65,66,0,6.5,black,2016-08-13,17,20
66,67,0,6.5,black,2016-08-13,32,7
67,68,0,6.5,white,2016-08-13,18,15
68,69,0,6.5,black,2016-08-13,25,30
69,70,0,6.5,black,2016-08-13,12,37
70,71,0,6.5,white,2016-08-13,38,16
71,72,0,6.5,black,2016-08-13,26,28
72,73,0,6.5,black,2016-08-13,34,41
73,74,0,6.5,black,2016-08-13,36,27
74,75,0,6.5,black,2016-08-14,6,15
75,76,0,6.5,black,2016-08-14,6,43
76,77,0,6.5,black,2016-08-14,6,17
77,78,0,6.5,black,2016-08-14,6,9
78,79,0,6.5,black,2016-08-14,42,20
79,80,0,6.5,black,2016-08-14,42,38
80,81,0,6.5,black,2016-08-14,42,7
81,82,0,6.5,black,2016-08-14,42,14
82,83,0,6.5,black,2016-08-14,9,19
83,84,0,6.5,black,2016-08-14,9,18
84,85,0,6.5,black,2016-08-14,9,27
85,86,0,6.5,black,2016-08-14,43,25
86,87,0,6.5,black,2016-08-14,43,15
87,88,0,6.5,black,2016-08-14,43,27
88,89,0,6.5,black,2016-08-14,7,14
89,90,0,6.5,black,2016-08-14,7,22
