"id","mu","sigma","event_id","player_id","id","created","modified","name","start_date","end_date","description"
167803,-13.5,2.19144,1,1,1,"2016-06-26 19:50:00","2016-09-23 13:51:15",TorneoLechuga,"2012-06-26","2012-06-26",""
167804,4.5,1.05947,1,2,1,"2016-06-26 19:50:00","2016-09-23 13:51:15",TorneoLechuga,"2012-06-26","2012-06-26",""
167805,-2.29463,1.0074,2,1,2,"2016-06-28 14:43:24","2016-09-23 13:51:37",TorneoJamón,"2012-06-28","2012-06-28",""
167806,1.87996,0.771821,2,2,2,"2016-06-28 14:43:24","2016-09-23 13:51:37",TorneoJamón,"2012-06-28","2012-06-28",""
167807,-4.49938,1.44999,3,3,3,"2016-06-29 17:34:00","2016-09-23 13:52:02",GranTorneoDeTest1,"2012-06-29","2012-06-29",El mejor torneo del mundo. Sirve para probar qué onda.
167808,6.50009,1.01118,3,4,3,"2016-06-29 17:34:00","2016-09-23 13:52:02",GranTorneoDeTest1,"2012-06-29","2012-06-29",El mejor torneo del mundo. Sirve para probar qué onda.
167809,-4.49956,1.44998,4,3,4,"2016-06-29 18:13:09","2016-09-23 13:52:20",GranTorneoDeTest2,"2012-06-30","2012-06-30","En esta revancha el jugador malo pierde contra el bueno, pero declara un valor enorme de 9dan, y le gana a un jugador malísimo, lo cual con el código anterior confiaría en el jugador. Habría que chequear que su rating no suba. [Y después volver atrás al código viejo, y chequear que su rating sí suba]"
167810,6.50039,1.01117,4,4,4,"2016-06-29 18:13:09","2016-09-23 13:52:20",GranTorneoDeTest2,"2012-06-30","2012-06-30","En esta revancha el jugador malo pierde contra el bueno, pero declara un valor enorme de 9dan, y le gana a un jugador malísimo, lo cual con el código anterior confiaría en el jugador. Habría que chequear que su rating no suba. [Y después volver atrás al código viejo, y chequear que su rating sí suba]"
167811,-27.5,3.49604,4,5,4,"2016-06-29 18:13:09","2016-09-23 13:52:20",GranTorneoDeTest2,"2012-06-30","2012-06-30","En esta revancha el jugador malo pierde contra el bueno, pero declara un valor enorme de 9dan, y le gana a un jugador malísimo, lo cual con el código anterior confiaría en el jugador. Habría que chequear que su rating no suba. [Y después volver atrás al código viejo, y chequear que su rating sí suba]"
167812,3.26036,0.762676,5,6,5,"2016-08-07 14:15:29","2016-08-07 14:42:20",Primera Superliga Argentina de Go,"2016-06-27","2016-07-24",""
167813,1.8375,0.589925,5,7,5,"2016-08-07 14:15:29","2016-08-07 14:42:20",Primera Superliga Argentina de Go,"2016-06-27","2016-07-24",""
167814,2.58697,0.81462,5,8,5,"2016-08-07 14:15:29","2016-08-07 14:42:20",Primera Superliga Argentina de Go,"2016-06-27","2016-07-24",""
167815,3.61565,0.808319,5,9,5,"2016-08-07 14:15:29","2016-08-07 14:42:20",Primera Superliga Argentina de Go,"2016-06-27","2016-07-24",""
167816,1.51177,0.878509,5,10,5,"2016-08-07 14:15:29","2016-08-07 14:42:20",Primera Superliga Argentina de Go,"2016-06-27","2016-07-24",""
167817,1.9072,1.01808,5,12,5,"2016-08-07 14:15:29","2016-08-07 14:42:20",Primera Superliga Argentina de Go,"2016-06-27","2016-07-24",""
167818,-4.0449,1.13295,5,13,5,"2016-08-07 14:15:29","2016-08-07 14:42:20",Primera Superliga Argentina de Go,"2016-06-27","2016-07-24",""
167819,-3.62962,0.824564,5,14,5,"2016-08-07 14:15:29","2016-08-07 14:42:20",Primera Superliga Argentina de Go,"2016-06-27","2016-07-24",""
167820,-3.52303,0.651081,5,15,5,"2016-08-07 14:15:29","2016-08-07 14:42:20",Primera Superliga Argentina de Go,"2016-06-27","2016-07-24",""
167821,-5.27424,0.493885,5,18,5,"2016-08-07 14:15:29","2016-08-07 14:42:20",Primera Superliga Argentina de Go,"2016-06-27","2016-07-24",""
167822,-4.04664,1.20786,5,19,5,"2016-08-07 14:15:29","2016-08-07 14:42:20",Primera Superliga Argentina de Go,"2016-06-27","2016-07-24",""
167823,-4.47845,0.715515,5,20,5,"2016-08-07 14:15:29","2016-08-07 14:42:20",Primera Superliga Argentina de Go,"2016-06-27","2016-07-24",""
167824,-5.54774,1.4142,5,21,5,"2016-08-07 14:15:29","2016-08-07 14:42:20",Primera Superliga Argentina de Go,"2016-06-27","2016-07-24",""
167825,-8.26159,0.78808,5,23,5,"2016-08-07 14:15:29","2016-08-07 14:42:20",Primera Superliga Argentina de Go,"2016-06-27","2016-07-24",""
167826,-11.1864,1.4828,5,25,5,"2016-08-07 14:15:29","2016-08-07 14:42:20",Primera Superliga Argentina de Go,"2016-06-27","2016-07-24",""
167827,-13.8452,1.47618,5,26,5,"2016-08-07 14:15:29","2016-08-07 14:42:20",Primera Superliga Argentina de Go,"2016-06-27","2016-07-24",""
167828,-12.9327,1.37003,5,27,5,"2016-08-07 14:15:29","2016-08-07 14:42:20",Primera Superliga Argentina de Go,"2016-06-27","2016-07-24",""
167829,3.41564,0.546035,6,6,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167830,2.45666,0.528005,6,7,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167831,3.38555,0.611004,6,9,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167832,2.47441,0.790036,6,12,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167833,-2.95521,0.651294,6,14,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167834,-3.63444,0.542421,6,15,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167835,-3.95577,0.772196,6,16,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167836,-4.31813,1.10373,6,17,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167837,-4.88059,0.549378,6,18,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167838,-5.20567,0.84536,6,19,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167839,-4.73875,0.644007,6,20,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167840,-9.16911,0.98413,6,25,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167841,-14.0587,1.04482,6,26,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167842,-12.611,1.08745,6,27,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167843,-15.9246,1.9142,6,28,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167844,-8.848,1.03181,6,30,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167845,3.24156,0.712317,6,32,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167846,1.10618,0.718166,6,34,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167847,-4.13008,0.75713,6,35,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167848,-8.49921,1.5766,6,36,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167849,1.5653,0.734772,6,37,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167850,-3.46772,0.619393,6,38,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167851,-1.41177,0.857463,6,41,6,"2016-08-24 22:15:53","2016-11-22 18:08:01","2º Torneo Interclubes por Equipos","2016-08-13","2016-08-13",En el marco del 11º Congreso Argentino de Go
167852,3.60601,0.52352,7,6,7,"2016-09-01 19:06:05","2016-09-01 19:31:37","4º Torneo Franklin Bassarsky","2016-08-14","2016-08-15","Cronograma
Primera y segunda ronda: domingo 14 de agosto a las 11.00hs (Sede de la AAGo, Santiago del Estero 952, 1º piso)
Tercera y cuarta ronda: lunes 15 de agosto a las 11.00hs (Sede de la AAGo, Santiago del Estero 952, 1º piso)
Condiciones
Sistema suizo a 4 rondas
No hay límite de nivel, se separarán los grupos según las categorias hasta 16 por grupo
Abierto para jugadores de todos los niveles y nacionalidad.
Komi: 6,5 puntos para blancas. Sin hándicap.
Tiempo: tiempo principal de 20 minutos y byo-yomi canadiense de 25 jugadas en 10 minutos."
167853,2.45718,0.527111,7,7,7,"2016-09-01 19:06:05","2016-09-01 19:31:37","4º Torneo Franklin Bassarsky","2016-08-14","2016-08-15","Cronograma
Primera y segunda ronda: domingo 14 de agosto a las 11.00hs (Sede de la AAGo, Santiago del Estero 952, 1º piso)
Tercera y cuarta ronda: lunes 15 de agosto a las 11.00hs (Sede de la AAGo, Santiago del Estero 952, 1º piso)
Condiciones
Sistema suizo a 4 rondas
No hay límite de nivel, se separarán los grupos según las categorias hasta 16 por grupo
Abierto para jugadores de todos los niveles y nacionalidad.
Komi: 6,5 puntos para blancas. Sin hándicap.
Tiempo: tiempo principal de 20 minutos y byo-yomi canadiense de 25 jugadas en 10 minutos."
167854,3.19408,0.564527,7,9,7,"2016-09-01 19:06:05","2016-09-01 19:31:37","4º Torneo Franklin Bassarsky","2016-08-14","2016-08-15","Cronograma
Primera y segunda ronda: domingo 14 de agosto a las 11.00hs (Sede de la AAGo, Santiago del Estero 952, 1º piso)
Tercera y cuarta ronda: lunes 15 de agosto a las 11.00hs (Sede de la AAGo, Santiago del Estero 952, 1º piso)
Condiciones
Sistema suizo a 4 rondas
No hay límite de nivel, se separarán los grupos según las categorias hasta 16 por grupo
Abierto para jugadores de todos los niveles y nacionalidad.
Komi: 6,5 puntos para blancas. Sin hándicap.
Tiempo: tiempo principal de 20 minutos y byo-yomi canadiense de 25 jugadas en 10 minutos."
167855,-2.9351,0.633451,7,14,7,"2016-09-01 19:06:05","2016-09-01 19:31:37","4º Torneo Franklin Bassarsky","2016-08-14","2016-08-15","Cronograma
Primera y segunda ronda: domingo 14 de agosto a las 11.00hs (Sede de la AAGo, Santiago del Estero 952, 1º piso)
Tercera y cuarta ronda: lunes 15 de agosto a las 11.00hs (Sede de la AAGo, Santiago del Estero 952, 1º piso)
Condiciones
Sistema suizo a 4 rondas
No hay límite de nivel, se separarán los grupos según las categorias hasta 16 por grupo
Abierto para jugadores de todos los niveles y nacionalidad.
Komi: 6,5 puntos para blancas. Sin hándicap.
Tiempo: tiempo principal de 20 minutos y byo-yomi canadiense de 25 jugadas en 10 minutos."
167856,-3.679,0.524514,7,15,7,"2016-09-01 19:06:05","2016-09-01 19:31:37","4º Torneo Franklin Bassarsky","2016-08-14","2016-08-15","Cronograma
Primera y segunda ronda: domingo 14 de agosto a las 11.00hs (Sede de la AAGo, Santiago del Estero 952, 1º piso)
Tercera y cuarta ronda: lunes 15 de agosto a las 11.00hs (Sede de la AAGo, Santiago del Estero 952, 1º piso)
Condiciones
Sistema suizo a 4 rondas
No hay límite de nivel, se separarán los grupos según las categorias hasta 16 por grupo
Abierto para jugadores de todos los niveles y nacionalidad.
Komi: 6,5 puntos para blancas. Sin hándicap.
Tiempo: tiempo principal de 20 minutos y byo-yomi canadiense de 25 jugadas en 10 minutos."
